,result,max_time,min_time,total_thinking_time,total_move,thinking_time
0,-1,0.0010619164,0.0,0.011917114,27,"0.0009648799896240234,0.0,0.0010619163513183594,0.0010006427764892578,0.0,0.0009982585906982422,0.0,0.0,0.0,0.000965118408203125,0.0009634494781494141,0.0009653568267822266,0.001003265380859375,0.0009937286376953125,0.0,0.0,0.0010004043579101562,0.0,0.0,0.0,0.0009996891021728516,0.0,0.0,0.0,0.0010004043579101562,0.0,0.0"
1,-1,0.0010910034,0.0,0.012859821,15,"0.0009996891021728516,0.00109100341796875,0.0010018348693847656,0.0009667873382568359,0.000997304916381836,0.0009679794311523438,0.0009644031524658203,0.0009982585906982422,0.0,0.0009996891021728516,0.0009696483612060547,0.0009684562683105469,0.000965118408203125,0.0009696483612060547,0.0"
2,-1,0.0009989738,0.0,0.003888607,7,"0.0,0.0009632110595703125,0.0,0.0,0.0009989738464355469,0.0009605884552001953,0.0009658336639404297"
3,-1,0.0009994507,0.0,0.0048937798,8,"0.0009698867797851562,0.0,0.00099945068359375,0.0,0.0,0.0009641647338867188,0.0009980201721191406,0.0009622573852539062"
4,-1,0.0009989738,0.0,0.0038993359,6,"0.0,0.0009989738464355469,0.0009686946868896484,0.0009663105010986328,0.0,0.0009653568267822266"
5,-1,0.001003027,0.0,0.017630577,35,"0.0,0.0,0.0009987354278564453,0.0009672641754150391,0.0009658336639404297,0.0,0.0,0.0,0.000965118408203125,0.0,0.0009641647338867188,0.0009672641754150391,0.0,0.0,0.0,0.0,0.0009667873382568359,0.0010030269622802734,0.0009653568267822266,0.0009620189666748047,0.0,0.0,0.0,0.0,0.001001119613647461,0.0,0.0,0.0009634494781494141,0.0010008811950683594,0.0009980201721191406,0.0009784698486328125,0.0009636878967285156,0.0010008811950683594,0.0009984970092773438,0.0"
6,-1,0.001001358,0.0,0.008569241,13,"0.0009665489196777344,0.0,0.0010006427764892578,0.0010006427764892578,0.0,0.0009660720825195312,0.0,0.0007002353668212891,0.0010013580322265625,0.0009670257568359375,0.0009663105010986328,0.0010004043579101562,0.0"
7,-1,0.0010018349,0.0,0.010338306,16,"0.0010013580322265625,0.0010018348693847656,0.0,0.0009999275207519531,0.0010008811950683594,0.0,0.0009636878967285156,0.0009624958038330078,0.0005085468292236328,0.0010004043579101562,0.0009655952453613281,0.0,0.0,0.0009670257568359375,0.0009665489196777344,0.0"
8,1,0.0010006428,0.0,0.005878687,9,"0.0,0.000965118408203125,0.0,0.0009672641754150391,0.0,0.0010006427764892578,0.0009646415710449219,0.0009815692901611328,0.00099945068359375"
9,1,0.0014662743,0.0,0.011866331,15,"0.0009999275207519531,0.0005424022674560547,0.0,0.0009491443634033203,0.0009679794311523438,0.0010082721710205078,0.000995635986328125,0.0010385513305664062,0.0009713172912597656,0.0,0.0,0.0009989738464355469,0.0009603500366210938,0.0009675025939941406,0.0014662742614746094"
